authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
"XAct Software Solutions,Inc.",2012-04-11T09:26:09.563Z,"An XActLib Assembly: an Assembly that builds on the interfaces defined in XAct.Data, providing implementations of Repositories for EF 40 and EF4.2, suitable for working with POCOs, etc. as well as CodeFirst.",XAct.Data.Db.EF,False,1899-12-31T16:00:00-08:00,False,,"XAct,XActLib",-1,False,0.0.304
"XAct Software Solutions,Inc.",2012-04-11T10:54:05.397Z,An XActLib Assembly: a library of code to perform maintenance on servers.,XAct.Environment.IIS,False,2014-01-22T21:50:08.953-08:00,True,,"XAct,Library,(XActLib)",61337,False,0.0.309
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T13:33:11.303Z,The Spring Container for the nservicebus,NServiceBus.Spring-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2171
Jarle Nygård,2012-04-12T11:16:47.14Z,Make it easier to read/write Excel files,ExcelIO,False,2012-04-12T04:33:25.49-07:00,True,,Excel,4446,False,0.5.0
mao.gang,2012-04-11T07:55:10.51Z,My package description.,slcommon2,False,1899-12-31T16:00:00-08:00,False,"include three dll
Common.dll
EffectLibrary.dll
NetHelper.dll","pdd,projectdd,maogang,silverlight,4.0",-1,False,1.0.0
Martin Prikryl,2012-04-13T17:34:54.917Z,"WinSCP is an open source free SFTP client, SCP client, FTPS client and FTP client for Windows. Its main function is file transfer between a local and a remote computer. Beyond this, WinSCP offers scripting and basic file manager functionality.",WinSCP,False,2018-03-28T08:48:12.09+00:00,True,"WinSCP is a free SFTP client, SCP client, FTPS client and FTP client for Windows.","sftp,scp,ftps,ftp,winscp",393800,False,4.3.7
Matthew Schrager,2012-04-12T13:50:08.297Z,A generic implementation for the repository pattern.,Repository,False,2016-02-23T13:37:48.5-08:00,True,,"Tag1,Tag2",29331,False,1.0.0.1
"XAct Software Solutions,Inc.",2012-04-11T10:55:37.397Z,"An XActLib Assembly: library for working with Zip Packages (Compression + Structure). A poor man's Zip Solution, that requires no external assemblies beyond .NET. See DotNetZip for better functionality.",XAct.IO.Compression.ZipPackage,False,2017-02-08T17:57:22.977-08:00,True,,"XAct,XActLib",89506,False,0.0.309
UTFPR,2012-04-12T20:10:12.75Z,WindowsForms,UtfprLibrary.WindowsForms,True,2013-01-25T08:19:22.657-08:00,True,,"UTFPR,WindowsForms,EntityFramework",95986,False,1.0.150-alpha
UTFPR,2012-04-11T14:39:37.627Z,WindowsForms.Core,UtfprLibrary.WindowsForms.Core,True,2013-01-25T08:19:07.14-08:00,True,,"UTFPR,WindowsForms,EntityFramework",32303,False,1.0.146-alpha
Corey Kaylor,2012-04-13T21:28:31.247Z,Castle Windsor integration with Rhino.ServiceBus,Rhino.ServiceBus.Castle,False,2013-06-17T09:33:49.193-07:00,True,,"rhino,castle,windsor,servicebus,bus,msmq,messaging,cqrs",13050,False,2.3.1
Rene Andersen,2012-04-13T21:29:10.887Z,Unity integration with Rhino.ServiceBus,Rhino.ServiceBus.Unity,False,2013-06-17T09:34:12.917-07:00,True,,"rhino,unity,servicebus,bus,msmq,messaging,cqrs",13361,False,2.3.1
Paul Irish & Luke Shumard,2012-04-13T16:37:26.587Z,"Infinite scroll has been called autopagerize, unpaginate, endless pages. But essentially it is pre-fetching content from a subsequent page and adding it directly to the user’s current page.",jQuery.InfiniteScroll,False,2013-05-08T04:58:35.887-07:00,True,,,10202,False,2.110713.0
Demis Bellot,2012-04-13T06:48:19.893Z,"Common library dependency for other ServiceStack projects
        Includes: 
            - ServiceStack.Interfaces.dll
            - ServiceStack.Common.dll
        Dependenies:
            - ServiceStack.Text.dll",ServiceStack.Common,False,2018-01-02T14:44:38.52+00:00,True,Opensource .NET and Mono REST Web Services framework,"ServiceStack,Common,Framework",1796109,False,3.6.9
"XAct Software Solutions,Inc.",2012-04-11T09:26:56.937Z,An XActLib Assembly: an Assembly that provides a Log4NetTraceListener (rerouting XAct.Diagnostics.Trace calls to Log4Net -- nice!) as well as Log4Net specific implementation of the Tracing service defined in XAct.Core.,XAct.Diagnostics.Log4Net,False,2017-02-08T17:57:07.633-08:00,True,,"XAct,XActLib",90650,False,0.0.304
Mogens Heller Grabe,2012-04-13T11:08:37.357Z,DillPickle is a simple BDD framework that understands the Gherkin feature syntax.,DillPickle,False,2012-04-13T04:08:38.747-07:00,True,,"dillpickle,bdd,gherkin,cucumber,.net35,.net40",1631,False,1.0.0.5
BuildDaemon,2012-04-12T13:34:01.927Z,Description,WebApiContrib,False,2016-02-17T14:30:08.943-08:00,True,,,-1,False,0.6.0.27
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-12T11:59:52.517Z,"The testing for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Testing-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2174
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T13:33:28.617Z,Azure support for NServicebus,NServiceBus.Azure-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2171
objo,2012-04-13T23:30:07.413Z,OxyPlot is a .NET plotting library with focus on simplicity and performance.,OxyPlot.Wpf,False,1900-01-01T00:00:00+00:00,False,,"wpf,plotting,plot,charting,chart",290359,False,2012.2.1.76
