DataAnnotationsExtensions: ['DataAnnotationsExtensions.MVC3', 'JetBrains.Annotations', 'jQuery.Validation', 'Nancy.Validation.FluentValidation', 'Nancy.Validation.DataAnnotations']
xunit.runners: ['xunit', 'FsUnit.xUnit', 'AutoFixture.Xunit', 'xunit.extensions', 'RazorGenerator.MsBuild']
underscore.js: ['UnderscoreKO', 'Handlebars.js', 'Moment.js', 'Sammy.js', 'Silverlight.js']
MathNet.Numerics: ['MathNet.Numerics.FSharp', 'Meta.Numerics', 'jQuery.Validation', 'CavemanTools', 'FluentAssertions']
FluentMigrator: ['FluentMigrator.Tools', 'Selenium.WebDriverBackedSelenium', 'System.Threading.Tasks', 'Westwind.Utilities', 'MVVMHelpers']
RazorGenerator.Mvc: ['RazorGenerator.MsBuild', 'RazorGenerator.Testing', 'RazorGenerator.Templating', 'PrecompiledMvcViewEngineContrib', 'Nancy.Viewengines.Razor']
JWT: ['Newtonsoft.Json', 'System.Json', 'NanoMessageBus.Json.NET', 'jayrock-json', 'DotNetOpenAuth.OpenIdOAuth']
MarkdownSharp: ['Kiwi.Markdown', 'MarkdownDeep.NET', 'MarkdownDeep.Full', 'MarkdownHelper', 'MarkdownDeep.Full.Sample']
MvvmLight: ['MvvmLightLibs', 'Extended.Wpf.Toolkit', 'System.Threading.Tasks', 'Catel.MVVM', 'AjaxControlToolkit']
MSBuildTasks: ['RazorGenerator.MsBuild', 'roundhouse.msbuild', 'StyleCop.MSBuild', 'Aspose.Tasks', 'Invoke-Build']
json2: ['Newtonsoft.Json', 'System.Net.Http', 'System.Json', 'EasyHttp', 'NanoMessageBus.Json.NET']
AutoFixture.AutoMoq: ['AutoFixture.AutoRhinoMocks', 'Moq', 'Ninject.MockingKernel.Moq', 'MvcDiagnostics', 'Moq.Sequences']
YUICompressor.NET: ['antix-nibbler', 'Selenium.WebDriver', 'RazorGenerator.MsBuild', 'jQuery.UI.Combined', 'Bundler']
Stripe.net: ['Stripe', 'ServiceStack', 'FileHelpers', 'NewRelicWindowsAzure', 'MSTestExtensions']
EnterpriseLibrary.Data: ['Aspose.Tasks', 'System.Threading.Tasks', 'FluentScheduler', 'FAKE', 'MSBuildTasks']
recaptcha: ['microsoft-web-helpers', 'PoliteCaptcha', 'SimpleMvcCaptcha', 'subkismet', 'NodaTime']
jquery.cookie: ['jQuery.Validation', 'jQuery', 'TinyMCE.jQuery', 'jQuery.UI.Combined', 'jQuery.MaskedInput']
routedebugger: ['RouteMagic', 'Microsoft.Web.Administration', 'Google.ProtocolBuffers', 'ImageResizer.Plugins.Wic', 'Google.ProtocolBuffersLite']
jquery.datatables: ['Mvc.JQuery.Datatables', 'DataTables-ASP.NET-MVC', 'jQuery', 'TinyMCE.jQuery', 'jQuery.Validation']
RequireJS: ['RaphaelJS', 'Ninject.Extensions.Xml', 'Selenium.WebDriver', 'Bundler', 'Rhino-Etl']
SpecFlow.NUnit: ['SpecFlow', 'SpecFlow.Assist.Dynamic', 'NUnit', 'NUnit.Runners', 'Testing.Commons.NUnit']
BundleTransformer.Core: ['BundleTransformer.SassAndScss', 'Bundler', 'ClientDependency', 'BundleTransformer.CoffeeScript', 'RequestReduce.SassLessCoffee']
MiniProfiler.MVC3: ['MiniProfiler', 'MiniProfiler.EF', 'SimpleInjector.MVC3', 'ServiceStack.Mvc', 'Ninject.MVC3']
Ninject.Extensions.Conventions: ['Ninject.Extensions.NamedScope', 'Ninject.Extensions.Wcf', 'Ninject.Extensions.ContextPreservation', 'Ninject.Extensions.Factory', 'Ninject.Extensions.Logging']
ZeroClipboard: ['jQuery.UI.Combined', 'Backbone.js', 'System.Net.Http', 'BundleTransformer.Core', 'CommonServiceLocator']
