NPOI: ['Enumeration', 'nDumbster', 'AutoFixture.AutoFakeItEasy', 'SSH.NET', 'System.Net.Http']
Microsoft.Web.Administration: ['Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'ExcelDataReader', 'Microsoft.Web.Services2', 'Microsoft.Web.Services3']
microsoft-web-helpers: ['Microsoft.AspNet.Web.Helpers.Mvc', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions']
ExcelDataReader: ['Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'Microsoft.UnitTestFramework.Extensions', 'ExchangeWebServices', 'JSAndCSSBundling']
Chutzpah: ['Adam.JSGenerator', 'TeamCity.ServiceMessages', 'ZeroClipboard', 'QUnit-MVC', 'Clay']
ImageResizer: ['ImageResizer.WebConfig', 'ImageResizer.MvcWebConfig', 'ImageResizer.Mvc', 'ImageResizer.Samples.Jcrop', 'ImageResizer.Plugins.Watermark']
EnterpriseLibrary.Logging: ['EnterpriseLibrary.Logging.Database', 'EnterpriseLibrary.Caching', 'EnterpriseLibrary.Common', 'EnterpriseLibrary.Data', 'EnterpriseLibrary.Validation']
Microsoft.WindowsAzure.Caching: ['WindowsAzure.Caching', 'Microsoft.WindowsAzure.Caching.MemcacheShim', 'Microsoft.WindowsAzure.ConfigurationManager', 'Microsoft.Experience.CloudFx', 'Microsoft.Web.Infrastructure']
EntityFramework.Extended: ['EntityFramework.Patterns', 'Repository.EntityFramework', 'UtfprLibrary.EntityFramework', 'EntityFramework', 'EntityFramework.Extensions']
elmah.sqlserver: ['elmah.oracle', 'elmah', 'elmah.sqlservercompact', 'elmah.corelibrary', 'elmah.mysql']
xunit.extensions: ['xunit', 'xunit.runners', 'AutoFixture.Xunit', 'SpecFlow.xUnit', 'FsUnit.xUnit']
jquery.mobile: ['jQuery.UI.Combined', 'jQuery.MaskedInput', 'jQuery.UI.Core.Widget', 'jQuery-vsdoc', 'jQuery.UI.Core']
ServiceStack: ['ServiceStack.Host.AspNet', 'ServiceStack.Caching.Azure', 'ServiceStack.Host.Mvc', 'ServiceStack.Common', 'ServiceStack.Caching.Memcached']
Microsoft.AspNet.WebApi.SelfHost: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.Client', 'AspNetWebApi.SelfHost']
Knockout.Mapping: ['Prettify', 'chosen', 'Knockout.js_External_Template_Engine', 'Adam.JSGenerator', 'Knockout.Validation']
