RhinoMocks: ['Machine.Fakes.RhinoMocks', 'developwithpassion.specifications.rhinomocks', 'Ninject.MockingKernel.RhinoMocks', 'FormFactory', 'Castle.DynamicProxy']
Unity.WebAPI: ['Microsoft.AspNet.WebApi.Core', 'AttributeRouting.WebApi', 'Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.Client']
AjaxMin: ['ClientDependency', 'BundleTransformer.MicrosoftAjax', 'WebGrease', 'Rejuicer', 'Meleze.Web']
SSH.NET: ['Enumeration', 'Spackle', 'nDumbster', 'System.Threading.Tasks', 'OxyPlot.Silverlight']
MvvmLightLibs: ['MvvmLight', 'ASP.NET_MVVM_Excalibur', 'MvvmValidation', 'MugenMVVMToolkit', 'DemiCode.Mvvm']
StyleCop.MSBuild: ['MSBuild.Extension.Pack', 'Cassette.MSBuild', 'NuGet.Build', 'NewRelicWindowsAzure', 'YUICompressor.NET.MSBuild']
Glimpse: ['OctoPack', 'NuGet.Core', 'NuGet.Server', 'Glimpse.Mvc3', 'NuGet.Build']
ncrontab: ['ExcelDataReader', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'LinqBridge', 'Microsoft.UnitTestFramework.Extensions']
Ninject.MVC3: ['Ninject.Web.WebApi', 'Ninject.Extensions.Logging', 'Ninject.Extensions.NamedScope', 'Ninject.Extensions.Conventions', 'Ninject.Extensions.Factory']
TaskScheduler: ['TaskSchedulerEditor', 'ExcelDataReader', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'Microsoft.UnitTestFramework.Extensions']
Nancy: ['Nancy.Hosting.Self', 'Nancy.Testing', 'Nancy.Authentication.Forms', 'Nancy.Viewengines.Razor', 'Nancy.Authentication.Basic']
Elmah.MVC: ['elmah.corelibrary', 'elmah', 'Glimpse.Elmah', 'Elmah.Contrib.Mvc', 'elmah.sqlserver']
FAKE: ['Storyteller', 'RestfulRouting', 'AutoFixture.Xunit', 'RhinoDSL', 'SpecExpress']
Shouldly: ['NSubstitute', 'Should', 'ShouldFluent', 'ExpectedObjects', 'Machine.Specifications']
MahApps.Metro: ['TestStack.Seleno', 'Windows.UI.Interactivity', 'AForge.Controls', 'jQuery.UI.Combined', 'canopy']
toastr: ['Rejuicer', 'Sammy.js', 'NodeAssets.Core', 'Less.js', 'Backbone.js']
Ninject.Web.WebApi: ['Ninject.MVC3', 'Ninject.Extensions.Logging', 'Ninject.Extensions.NamedScope', 'Ninject.Extensions.Conventions', 'Ninject.Extensions.Factory']
PostSharp: ['SNAP', 'SNAP.CastleWindsor', 'Spring.Aop', 'Unity.Interception', 'Ninject.Extensions.Interception.Linfu']
Microsoft.SqlServer.Types: ['Microsoft.SqlServer.Compact', 'HashFoo.SqlServer.SpatialTypes', 'Simple.Data.SqlServer', 'ExcelDataReader', 'Microsoft.Web.Infrastructure']
T4MVC: ['T4MvcJs', 'Correspondence.Model', 'T4AppSettings', 'Mvc.Jsonp', 'MicrosoftWebMvc']
ServiceStack.Redis: ['BookSleeve', 'Sider', 'Harbour.RedisSessionStateStore', 'ServiceStack.Caching.Azure', 'ServiceStack.Caching.Memcached']
AntiXSS: ['Microsoft.AspNet.WebApi.Client', 'Microsoft.AspNet.Razor', 'PreMailer.Net', 'Microsoft.Web.Services3', 'ExcelDataReader']
TransientFaultHandling.Core: ['EnterpriseLibrary.WindowsAzure.TransientFaultHandling', 'smarx.WazStorageExtensions', 'NHelpfulException', 'dbup', 'AsyncBridge']
ClosedXML: ['Code2Xml', 'DoddleReport.OpenXml', 'YAXLib', 'Simple.Data.Mocking', 'Ninject.Web.Common.Xml']
Facebook: ['Facebook.channel', 'Facebook.Helper', 'eBay', 'AppBarUtils', 'DotNetOpenAuth.AspNet']
NServiceBus: ['NServiceBus.Testing', 'NServiceBus.Host', 'NServiceBus.Host32', 'NServiceBus.CastleWindsor', 'NServiceBus.Unity']
Extended.Wpf.Toolkit: ['WPFToolkit', 'Blend.Interactivity.Wpf', 'PropertyTools.Wpf', 'WPFExtensions', 'Hardcodet.Wpf.TaskbarNotification']
morelinq: ['Remotion.Linq', 'LinqSpecs', 'SubSonic', 'DynamicLINQ', 'linq.js']
RavenDB.Client: ['RavenDB.AspNetHost', 'RavenDB.Database', 'RavenDB.Embedded', 'RavenDB.Server', 'RavenDB.Bundles.IndexReplication']
Microsoft.SqlServer.Compact: ['Microsoft.SqlServer.Types', 'Simple.Data.SqlServer', 'ExcelDataReader', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx']
Nito.AsyncEx: ['AsyncUnitTests-MSTest', 'AsyncCTP', 'AsyncBridge', 'FSharpx.Async', 'AsyncBridge.Net35']
LinqKit: ['SQLinq', 'Remotion.Linq', 'dbup', 'FluentMigrator', 'FluentMigrator.Tools']
Microsoft.Web.Administration: ['Microsoft.Web.Infrastructure', 'ExcelDataReader', 'Microsoft.Experience.CloudFx', 'Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi']
Mono.Cecil: ['Mono.Reflection', 'IKVM', 'Fielder.Fody', 'Caseless.Fody', 'ExtraConstraints.Fody']
NPOI: ['Enumeration', 'nDumbster', 'AutoFixture.AutoFakeItEasy', 'SSH.NET', 'System.Net.Http']
microsoft-web-helpers: ['Microsoft.AspNet.Web.Helpers.Mvc', 'Microsoft.Web.Infrastructure', 'ExcelDataReader', 'Microsoft.Experience.CloudFx', 'Microsoft.UnitTestFramework.Extensions']
ImageResizer: ['ImageResizer.WebConfig', 'ImageResizer.MvcWebConfig', 'ImageResizer.Mvc', 'ImageResizer.Samples.Jcrop', 'ImageResizer.Plugins.Watermark']
Chutzpah: ['Adam.JSGenerator', 'TeamCity.ServiceMessages', 'ZeroClipboard', 'QUnit-MVC', 'JasmineTest']
ExcelDataReader: ['Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx', 'Microsoft.UnitTestFramework.Extensions', 'ExchangeWebServices', 'JSAndCSSBundling']
EnterpriseLibrary.Logging: ['EnterpriseLibrary.Logging.Database', 'EnterpriseLibrary.Common', 'EnterpriseLibrary.Data', 'EnterpriseLibrary.Caching', 'EnterpriseLibrary.Validation']
Microsoft.WindowsAzure.Caching: ['Microsoft.WindowsAzure.Caching.MemcacheShim', 'WindowsAzure.Caching', 'Microsoft.WindowsAzure.ConfigurationManager', 'Microsoft.Experience.CloudFx', 'WindowsAzure.Storage']
elmah.sqlserver: ['elmah.corelibrary', 'elmah.sqlservercompact', 'elmah', 'elmah.mysql', 'elmah.xml']
